# replay-league :: candidate=main.py :: seeds=[101, 202, 7, 42, 303, 404, 505, 777, 1234, 2026, 5555, 9001] :: opponents=5
# candidate sha256=7c5a4a2a3ba51cc4

== vs kaitofukami_v17_market_ranker.py ==
  seed     7 seat A: cand=   57675.0  opp=   48436.0  diff=    +9239.0  WIN  ['DONE', 'DONE']
  seed     7 seat B: cand=   76741.0  opp=   63229.0  diff=   +13512.0  WIN  ['DONE', 'DONE']
  seed    42 seat A: cand=   59552.0  opp=   44449.0  diff=   +15103.0  WIN  ['DONE', 'DONE']
  seed    42 seat B: cand=   61416.0  opp=   43279.0  diff=   +18137.0  WIN  ['DONE', 'DONE']
  seed   303 seat A: cand=   74731.0  opp=   60676.0  diff=   +14055.0  WIN  ['DONE', 'DONE']
  seed   303 seat B: cand=   74731.0  opp=   60676.0  diff=   +14055.0  WIN  ['DONE', 'DONE']
  seed   404 seat A: cand=  100777.0  opp=   92148.0  diff=    +8629.0  WIN  ['DONE', 'DONE']
  seed   404 seat B: cand=  100777.0  opp=   92148.0  diff=    +8629.0  WIN  ['DONE', 'DONE']
  seed   505 seat A: cand=   98659.0  opp=   94240.0  diff=    +4419.0  WIN  ['DONE', 'DONE']
  seed   505 seat B: cand=   98659.0  opp=   94240.0  diff=    +4419.0  WIN  ['DONE', 'DONE']
  seed   777 seat A: cand=   77121.0  opp=   68141.0  diff=    +8980.0  WIN  ['DONE', 'DONE']
  seed   777 seat B: cand=   77367.0  opp=   68062.0  diff=    +9305.0  WIN  ['DONE', 'DONE']
  seed  1234 seat A: cand=  104037.0  opp=   84607.0  diff=   +19430.0  WIN  ['DONE', 'DONE']
  seed  1234 seat B: cand=  104037.0  opp=   84607.0  diff=   +19430.0  WIN  ['DONE', 'DONE']
  seed  2026 seat A: cand=   66214.0  opp=   71194.0  diff=    -4980.0  LOSE  ['DONE', 'DONE']
  seed  2026 seat B: cand=   55201.0  opp=   66929.0  diff=   -11728.0  LOSE  ['DONE', 'DONE']
  seed  5555 seat A: cand=   58734.0  opp=   39730.0  diff=   +19004.0  WIN  ['DONE', 'DONE']
  seed  5555 seat B: cand=   59103.0  opp=   39735.0  diff=   +19368.0  WIN  ['DONE', 'DONE']
  seed  9001 seat A: cand=   63228.0  opp=   49119.0  diff=   +14109.0  WIN  ['DONE', 'DONE']
  seed  9001 seat B: cand=   77928.0  opp=   58999.0  diff=   +18929.0  WIN  ['DONE', 'DONE']
  -> win_rate=92% (22/24)  diff_min=-11728.0  diff_mean=+9745.0  cand_min_money=55201.0  sign=MIXED  all_done=True

== vs roman_hamburger_anchor.py ==
  seed   101 seat A: cand=   87246.0  opp=   87120.0  diff=     +126.0  WIN  ['DONE', 'DONE']
  seed   101 seat B: cand=   87120.0  opp=   87246.0  diff=     -126.0  LOSE  ['DONE', 'DONE']
  seed   202 seat A: cand=   77990.0  opp=   78104.0  diff=     -114.0  LOSE  ['DONE', 'DONE']
  seed   202 seat B: cand=   77990.0  opp=   78104.0  diff=     -114.0  LOSE  ['DONE', 'DONE']
  seed     7 seat A: cand=   36460.0  opp=   38901.0  diff=    -2441.0  LOSE  ['DONE', 'DONE']
  seed     7 seat B: cand=   38901.0  opp=   36460.0  diff=    +2441.0  WIN  ['DONE', 'DONE']
  seed    42 seat A: cand=   69319.0  opp=   69367.0  diff=      -48.0  LOSE  ['DONE', 'DONE']
  seed    42 seat B: cand=   69367.0  opp=   69319.0  diff=      +48.0  WIN  ['DONE', 'DONE']
  seed   303 seat A: cand=   55879.0  opp=   55879.0  diff=       +0.0  TIE  ['DONE', 'DONE']
  seed   303 seat B: cand=   55879.0  opp=   55879.0  diff=       +0.0  TIE  ['DONE', 'DONE']
  seed   404 seat A: cand=   78733.0  opp=   78733.0  diff=       +0.0  TIE  ['DONE', 'DONE']
  seed   404 seat B: cand=   78733.0  opp=   78733.0  diff=       +0.0  TIE  ['DONE', 'DONE']
  seed   505 seat A: cand=   80843.0  opp=   80565.0  diff=     +278.0  WIN  ['DONE', 'DONE']
  seed   505 seat B: cand=   80565.0  opp=   80843.0  diff=     -278.0  LOSE  ['DONE', 'DONE']
  seed   777 seat A: cand=  114191.0  opp=  114052.0  diff=     +139.0  WIN  ['DONE', 'DONE']
  seed   777 seat B: cand=  114052.0  opp=  114191.0  diff=     -139.0  LOSE  ['DONE', 'DONE']
